date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,state
2015-03-12,shot,unarmed,35,Male,Black,Washington,True,other,Not fleeing,False,-76.983,38.882,
2015-03-13,shot,gun,41,Male,Hispanic,Napa,False,other,Other,False,-122.274,38.306,California
2015-03-13,shot,gun,59,Male,White,Kansas City,False,attack,Not fleeing,False,-94.487,38.947,Missouri
2015-03-13,shot,knife,36,Male,White,Fontana,False,attack,Not fleeing,False,-117.43,34.078,California
2015-03-13,shot,unarmed,32,Male,Hispanic,Walnut Creek,False,other,Foot,False,-118.229,33.971,California
2015-03-14,shot,knife,53,Male,White,Follansbee,False,other,Not fleeing,False,-80.596,40.331,West Virginia
2015-03-14,shot,gun,26,Male,White,Kenosha,False,attack,Car,False,-87.835,42.583,Wisconsin
2015-03-14,shot,gun,29,Male,Hispanic,San Antonio,True,attack,Not fleeing,False,-98.536,29.513,Texas
2015-03-15,shot,machete,27,Male,White,Ruth,False,other,Not fleeing,False,-90.303,31.326,Mississippi
2015-03-16,shot,gun,28,Male,White,St. Paul,True,attack,Not fleeing,False,-93.025,44.954,Minnesota
2015-03-16,shot,gun,52,Male,White,Gastonia,True,attack,Not fleeing,False,-81.242,35.204,North Carolina
2015-03-17,shot,gun,49,Male,White,Medford,True,attack,Not fleeing,False,-122.899,42.33,Oregon
2015-03-17,shot,gun,24,Male,White,Dublin,False,attack,Foot,False,-78.751,34.64,North Carolina
2015-03-17,shot,vehicle,24,Female,White,San Francisco,True,other,Not fleeing,False,-122.422,37.789,California
2015-03-17,shot,gun,20,Male,White,Onalaska,True,attack,Not fleeing,False,-95.104,30.815,Texas
2015-03-17,shot,unarmed,22,Male,Hispanic,Sacramento,False,other,Car,False,-121.504,38.682,California
2015-03-18,shot,gun,49,Female,White,Glendale,False,attack,Not fleeing,False,-112.203,33.582,Arizona
2015-03-18,shot,gun,64,Male,White,Tallahassee,False,attack,Not fleeing,False,-84.279,30.461,Florida
